case_id,resource,activity,start_time,end_time
4,AML Investigator-000002,AML check,2023-02-09T10:50:57.177,2023-02-09T12:06:25.681
2,Loan Officer-000002,Assess loan risk,2023-02-09T11:53:18.768,2023-02-09T12:13:18.768
8,Clerk-000006,Check application form completeness,2023-02-09T12:00:00.000,2023-02-09T12:15:30.017
5,AML Investigator-000001,AML check,2023-02-09T11:53:18.768,2023-02-09T12:17:39.957
6,AML Investigator-000002,AML check,2023-02-09T12:06:25.681,2023-02-09T12:19:49.524
8,AML Investigator-000002,AML check,2023-02-09T12:19:49.524,2023-02-09T12:24:59.568
8,Appraiser-000002,Appraise property,2023-02-09T12:15:30.017,2023-02-09T12:25:30.807
4,Loan Officer-000003,Assess loan risk,2023-02-09T12:06:25.681,2023-02-09T12:26:25.681
7,Clerk-000002,Check credit history,2023-02-09T11:54:20.729,2023-02-09T12:29:41.564
8,Clerk-000005,Check credit history,2023-02-09T12:15:30.017,2023-02-09T12:34:32.220
5,Loan Officer-000001,Assess loan risk,2023-02-09T12:17:39.957,2023-02-09T12:37:39.957
2,Loan Officer-000004,Design loan offer,2023-02-09T12:13:18.768,2023-02-09T12:38:42.587
5,Loan Officer-000004,Design loan offer,2023-02-09T12:38:42.587,2023-02-09T12:39:44.264
6,Loan Officer-000002,Assess loan risk,2023-02-09T12:19:49.524,2023-02-09T12:39:49.524
7,AML Investigator-000001,AML check,2023-02-09T12:17:39.957,2023-02-09T12:41:17.220
6,Loan Officer-000004,Design loan offer,2023-02-09T12:39:49.524,2023-02-09T12:41:26.757
9,Clerk-000007,Check application form completeness,2023-02-09T12:30:00.000,2023-02-09T12:44:36.643
4,Loan Officer-000003,Design loan offer,2023-02-09T12:26:25.681,2023-02-09T12:44:41.714
9,Clerk-000004,Check credit history,2023-02-09T12:44:36.643,2023-02-09T12:52:02.753
8,Loan Officer-000001,Assess loan risk,2023-02-09T12:37:39.957,2023-02-09T12:57:39.957
2,Senior Officer-000001,Approve loan offer,2023-02-09T12:38:42.587,2023-02-09T12:58:42.587
5,Senior Officer-000002,Approve loan offer,2023-02-09T12:39:44.264,2023-02-09T12:59:44.264
9,Appraiser-000001,Appraise property,2023-02-09T12:44:36.643,2023-02-09T13:00:44.709
7,Loan Officer-000002,Assess loan risk,2023-02-09T12:41:17.220,2023-02-09T13:01:17.220
2,Clerk-000008,Cancel application,2023-02-09T12:58:42.587,2023-02-09T13:03:42.587
7,Loan Officer-000004,Design loan offer,2023-02-09T13:01:17.220,2023-02-09T13:04:26.623
5,Clerk-000001,Cancel application,2023-02-09T12:59:44.264,2023-02-09T13:04:44.264
8,Clerk-000003,Reject application,2023-02-09T12:57:39.957,2023-02-09T13:07:39.957
9,AML Investigator-000002,AML check,2023-02-09T12:44:36.643,2023-02-09T13:08:30.884
10,Clerk-000006,Check application form completeness,2023-02-09T13:00:00.000,2023-02-09T13:08:51.232
10,Clerk-000002,Check credit history,2023-02-09T13:08:51.232,2023-02-09T13:12:14.665
4,Senior Officer-000001,Approve loan offer,2023-02-09T12:58:42.587,2023-02-09T13:18:42.587
6,Senior Officer-000002,Approve loan offer,2023-02-09T12:59:44.264,2023-02-09T13:19:44.264
4,Clerk-000005,Cancel application,2023-02-09T13:18:42.587,2023-02-09T13:23:42.587
6,Clerk-000007,Approve application,2023-02-09T13:19:44.264,2023-02-09T13:24:44.264
9,Loan Officer-000003,Assess loan risk,2023-02-09T13:08:30.884,2023-02-09T13:28:30.884
10,Appraiser-000002,Appraise property,2023-02-09T13:08:51.232,2023-02-09T13:29:47.376
9,Loan Officer-000001,Design loan offer,2023-02-09T13:28:30.884,2023-02-09T13:32:20.188
7,Senior Officer-000001,Approve loan offer,2023-02-09T13:18:42.587,2023-02-09T13:38:42.587
7,Clerk-000008,Cancel application,2023-02-09T13:38:42.587,2023-02-09T13:43:42.587
11,Clerk-000004,Check application form completeness,2023-02-09T13:30:00.000,2023-02-09T13:44:17.420
11,AML Investigator-000002,AML check,2023-02-09T13:44:17.420,2023-02-09T13:46:33.458
10,AML Investigator-000001,AML check,2023-02-09T13:08:51.232,2023-02-09T13:50:42.043
9,Senior Officer-000002,Approve loan offer,2023-02-09T13:32:20.188,2023-02-09T13:52:20.188
9,Clerk-000003,Approve application,2023-02-09T13:52:20.188,2023-02-09T13:57:20.188
11,Appraiser-000001,Appraise property,2023-02-09T13:44:17.420,2023-02-09T14:09:54.717
10,Loan Officer-000002,Assess loan risk,2023-02-09T13:50:42.043,2023-02-09T14:10:42.043
10,Clerk-000002,Reject application,2023-02-09T14:10:42.043,2023-02-09T14:20:42.043
12,Clerk-000006,Check application form completeness,2023-02-09T14:00:00.000,2023-02-09T14:21:12.415
11,Clerk-000001,Check credit history,2023-02-09T13:44:17.420,2023-02-09T14:26:39.960
12,AML Investigator-000002,AML check,2023-02-09T14:21:12.415,2023-02-09T14:31:10.549
12,Clerk-000005,Check credit history,2023-02-09T14:21:12.415,2023-02-09T14:43:43.714
11,Loan Officer-000004,Assess loan risk,2023-02-09T14:26:39.960,2023-02-09T14:46:39.960
11,Loan Officer-000003,Design loan offer,2023-02-09T14:46:39.960,2023-02-09T14:49:11.266
12,Appraiser-000002,Appraise property,2023-02-09T14:21:12.415,2023-02-09T14:51:08.645
11,Senior Officer-000001,Approve loan offer,2023-02-09T14:49:11.266,2023-02-10T07:09:11.266
12,Loan Officer-000001,Assess loan risk,2023-02-09T14:51:08.645,2023-02-10T07:11:08.645
12,Loan Officer-000002,Design loan offer,2023-02-10T07:11:08.645,2023-02-10T07:12:05.191
11,Clerk-000004,Approve application,2023-02-10T07:09:11.266,2023-02-10T07:14:11.266
14,Clerk-000008,Check application form completeness,2023-02-09T15:00:00.000,2023-02-10T07:25:02.611
12,Senior Officer-000002,Approve loan offer,2023-02-10T07:12:05.191,2023-02-10T07:32:05.191
14,AML Investigator-000001,AML check,2023-02-10T07:25:02.611,2023-02-10T07:32:40.898
14,Appraiser-000001,Appraise property,2023-02-10T07:25:02.611,2023-02-10T07:35:00.307
12,Clerk-000006,Approve application,2023-02-10T07:32:05.191,2023-02-10T07:37:05.191
15,Clerk-000002,Check application form completeness,2023-02-10T07:30:00.000,2023-02-10T07:39:18.659
14,Clerk-000003,Check credit history,2023-02-10T07:25:02.611,2023-02-10T07:42:17.493
13,Clerk-000007,Check application form completeness,2023-02-09T14:30:00.000,2023-02-10T07:42:33.186
13,Clerk-000005,Return application back to applicant,2023-02-10T07:42:33.186,2023-02-10T07:47:33.186
15,Appraiser-000002,Appraise property,2023-02-10T07:39:18.659,2023-02-10T07:55:16.357
14,Loan Officer-000004,Assess loan risk,2023-02-10T07:42:17.493,2023-02-10T08:02:17.493
16,Clerk-000004,Check application form completeness,2023-02-10T08:00:00.000,2023-02-10T08:04:08.094
15,AML Investigator-000002,AML check,2023-02-10T07:39:18.659,2023-02-10T08:05:06.931
15,Clerk-000001,Check credit history,2023-02-10T07:39:18.659,2023-02-10T08:06:38.873
14,Clerk-000008,Reject application,2023-02-10T08:02:17.493,2023-02-10T08:12:17.493
16,Clerk-000006,Check credit history,2023-02-10T08:04:08.094,2023-02-10T08:12:50.966
16,AML Investigator-000001,AML check,2023-02-10T08:04:08.094,2023-02-10T08:21:12.906
15,Loan Officer-000003,Assess loan risk,2023-02-10T08:06:38.873,2023-02-10T08:26:38.873
15,Clerk-000002,Reject application,2023-02-10T08:26:38.873,2023-02-10T08:36:38.873
16,Appraiser-000001,Appraise property,2023-02-10T08:04:08.094,2023-02-10T08:37:51.821
13,Applicant-000001,Applicant completes form,2023-02-10T07:47:33.186,2023-02-10T08:47:33.186
16,Loan Officer-000001,Assess loan risk,2023-02-10T08:37:51.821,2023-02-10T08:57:51.821
13,Clerk-000007,Check application form completeness,2023-02-10T08:47:33.186,2023-02-10T09:07:57.007
16,Loan Officer-000002,Design loan offer,2023-02-10T08:57:51.821,2023-02-10T09:08:46.942
13,Clerk-000004,Check credit history,2023-02-10T09:07:57.007,2023-02-10T09:16:48.261
18,Clerk-000005,Check application form completeness,2023-02-10T09:00:00.000,2023-02-10T09:19:36.335
16,Senior Officer-000001,Approve loan offer,2023-02-10T09:08:46.942,2023-02-10T09:28:46.942
18,AML Investigator-000001,AML check,2023-02-10T09:19:36.335,2023-02-10T09:31:14.054
16,Clerk-000008,Approve application,2023-02-10T09:28:46.942,2023-02-10T09:33:46.942
18,Clerk-000001,Check credit history,2023-02-10T09:19:36.335,2023-02-10T09:34:28.107
13,AML Investigator-000002,AML check,2023-02-10T09:07:57.007,2023-02-10T09:47:01.830
17,Clerk-000003,Check application form completeness,2023-02-10T08:30:00.000,2023-02-10T09:49:48.271
13,Appraiser-000002,Appraise property,2023-02-10T09:07:57.007,2023-02-10T09:59:18.744
17,Appraiser-000002,Appraise property,2023-02-10T09:59:18.744,2023-02-10T10:04:07.000
18,Appraiser-000001,Appraise property,2023-02-10T09:19:36.335,2023-02-10T10:06:35.679
19,Clerk-000006,Check application form completeness,2023-02-10T09:30:00.000,2023-02-10T10:06:40.931
19,AML Investigator-000002,AML check,2023-02-10T10:06:40.931,2023-02-10T10:11:22.495
17,AML Investigator-000001,AML check,2023-02-10T09:49:48.271,2023-02-10T10:11:37.661
20,Clerk-000007,Check application form completeness,2023-02-10T10:00:00.000,2023-02-10T10:16:55.378
13,Loan Officer-000004,Assess loan risk,2023-02-10T09:59:18.744,2023-02-10T10:19:18.744
13,Loan Officer-000001,Design loan offer,2023-02-10T10:19:18.744,2023-02-10T10:22:26.346
18,Loan Officer-000003,Assess loan risk,2023-02-10T10:06:35.679,2023-02-10T10:26:35.679
20,AML Investigator-000002,AML check,2023-02-10T10:16:55.378,2023-02-10T10:26:52.236
20,Clerk-000005,Check credit history,2023-02-10T10:16:55.378,2023-02-10T10:29:20.379
20,Appraiser-000001,Appraise property,2023-02-10T10:16:55.378,2023-02-10T10:35:16.846
21,Clerk-000008,Check application form completeness,2023-02-10T10:30:00.000,2023-02-10T10:40:41.305
13,Senior Officer-000002,Approve loan offer,2023-02-10T10:22:26.346,2023-02-10T10:42:26.346
18,Loan Officer-000002,Design loan offer,2023-02-10T10:26:35.679,2023-02-10T10:43:17.476
13,Clerk-000003,Approve application,2023-02-10T10:42:26.346,2023-02-10T10:47:26.346
21,AML Investigator-000001,AML check,2023-02-10T10:40:41.305,2023-02-10T10:53:55.853
20,Loan Officer-000004,Assess loan risk,2023-02-10T10:35:16.846,2023-02-10T10:55:16.846
20,Loan Officer-000001,Design loan offer,2023-02-10T10:55:16.846,2023-02-10T10:57:20.178
21,Appraiser-000001,Appraise property,2023-02-10T10:40:41.305,2023-02-10T11:00:40.525
19,Clerk-000004,Check credit history,2023-02-10T10:06:40.931,2023-02-10T11:02:33.205
18,Senior Officer-000001,Approve loan offer,2023-02-10T10:43:17.476,2023-02-10T11:03:17.476
22,Clerk-000006,Check application form completeness,2023-02-10T11:00:00.000,2023-02-10T11:03:48.570
18,Clerk-000007,Cancel application,2023-02-10T11:03:17.476,2023-02-10T11:08:17.476
22,AML Investigator-000002,AML check,2023-02-10T11:03:48.570,2023-02-10T11:13:27.797
22,Clerk-000005,Check credit history,2023-02-10T11:03:48.570,2023-02-10T11:15:00.422
20,Senior Officer-000002,Approve loan offer,2023-02-10T10:57:20.178,2023-02-10T11:17:20.178
20,Clerk-000008,Approve application,2023-02-10T11:17:20.178,2023-02-10T11:22:20.178
19,Appraiser-000002,Appraise property,2023-02-10T10:06:40.931,2023-02-10T11:23:44.233
22,Appraiser-000001,Appraise property,2023-02-10T11:03:48.570,2023-02-10T11:24:23.507
17,Clerk-000002,Check credit history,2023-02-10T09:49:48.271,2023-02-10T11:28:15.800
21,Clerk-000001,Check credit history,2023-02-10T10:40:41.305,2023-02-10T11:31:49.197
19,Loan Officer-000003,Assess loan risk,2023-02-10T11:23:44.233,2023-02-10T11:43:44.233
22,Loan Officer-000002,Assess loan risk,2023-02-10T11:24:23.507,2023-02-10T11:44:23.507
23,Clerk-000003,Check application form completeness,2023-02-10T11:30:00.000,2023-02-10T11:46:26.975
17,Loan Officer-000004,Assess loan risk,2023-02-10T11:28:15.800,2023-02-10T11:48:15.800
17,Loan Officer-000003,Design loan offer,2023-02-10T11:48:15.800,2023-02-10T11:51:17.047
21,Loan Officer-000001,Assess loan risk,2023-02-10T11:31:49.197,2023-02-10T11:51:49.197
21,Loan Officer-000002,Design loan offer,2023-02-10T11:51:49.197,2023-02-10T11:52:10.264
19,Clerk-000004,Reject application,2023-02-10T11:43:44.233,2023-02-10T11:53:44.233
23,Clerk-000007,Check credit history,2023-02-10T11:46:26.975,2023-02-10T11:54:12.325
22,Clerk-000006,Reject application,2023-02-10T11:44:23.507,2023-02-10T11:54:23.507
23,AML Investigator-000001,AML check,2023-02-10T11:46:26.975,2023-02-10T11:56:10.417
23,Appraiser-000002,Appraise property,2023-02-10T11:46:26.975,2023-02-10T12:00:36.976
24,Clerk-000005,Check application form completeness,2023-02-10T12:00:00.000,2023-02-10T12:03:00.320
24,Appraiser-000001,Appraise property,2023-02-10T12:03:00.320,2023-02-10T12:08:23.469
17,Senior Officer-000001,Approve loan offer,2023-02-10T11:51:17.047,2023-02-10T12:11:17.047
21,Senior Officer-000002,Approve loan offer,2023-02-10T11:52:10.264,2023-02-10T12:12:10.264
17,Clerk-000002,Cancel application,2023-02-10T12:11:17.047,2023-02-10T12:16:17.047
21,Clerk-000001,Cancel application,2023-02-10T12:12:10.264,2023-02-10T12:17:10.264
23,Loan Officer-000004,Assess loan risk,2023-02-10T12:00:36.976,2023-02-10T12:20:36.976
24,Clerk-000008,Check credit history,2023-02-10T12:03:00.320,2023-02-10T12:22:14.175
23,Loan Officer-000003,Design loan offer,2023-02-10T12:20:36.976,2023-02-10T12:50:46.380
25,Clerk-000003,Check application form completeness,2023-02-10T12:30:00.000,2023-02-10T12:54:44.247
25,Clerk-000004,Check credit history,2023-02-10T12:54:44.247,2023-02-10T12:56:16.682
25,Appraiser-000002,Appraise property,2023-02-10T12:54:44.247,2023-02-10T13:00:13.872
23,Senior Officer-000001,Approve loan offer,2023-02-10T12:50:46.380,2023-02-10T13:10:46.380
23,Clerk-000006,Approve application,2023-02-10T13:10:46.380,2023-02-10T13:15:46.380
26,Clerk-000007,Check application form completeness,2023-02-10T13:00:00.000,2023-02-10T13:29:07.377
25,AML Investigator-000001,AML check,2023-02-10T12:54:44.247,2023-02-10T13:33:09.234
26,AML Investigator-000001,AML check,2023-02-10T13:33:09.234,2023-02-10T13:34:36.796
26,Clerk-000005,Check credit history,2023-02-10T13:29:07.377,2023-02-10T13:35:58.313
26,Appraiser-000001,Appraise property,2023-02-10T13:29:07.377,2023-02-10T13:44:23.941
24,AML Investigator-000002,AML check,2023-02-10T12:03:00.320,2023-02-10T13:51:00.198
25,Loan Officer-000001,Assess loan risk,2023-02-10T13:33:09.234,2023-02-10T13:53:09.234
27,Clerk-000002,Check application form completeness,2023-02-10T13:30:00.000,2023-02-10T13:53:24.303
28,Clerk-000003,Check application form completeness,2023-02-10T14:00:00.000,2023-02-10T14:00:13.365
27,Appraiser-000002,Appraise property,2023-02-10T13:53:24.303,2023-02-10T14:00:22.425
27,Clerk-000008,Check credit history,2023-02-10T13:53:24.303,2023-02-10T14:01:52.816
25,Clerk-000001,Reject application,2023-02-10T13:53:09.234,2023-02-10T14:03:09.234
26,Loan Officer-000002,Assess loan risk,2023-02-10T13:44:23.941,2023-02-10T14:04:23.941
27,AML Investigator-000001,AML check,2023-02-10T13:53:24.303,2023-02-10T14:06:11.525
28,AML Investigator-000002,AML check,2023-02-10T14:00:13.365,2023-02-10T14:06:35.120
26,Loan Officer-000003,Design loan offer,2023-02-10T14:04:23.941,2023-02-10T14:10:13.620
24,Loan Officer-000004,Assess loan risk,2023-02-10T13:51:00.198,2023-02-10T14:11:00.198
24,Loan Officer-000002,Design loan offer,2023-02-10T14:11:00.198,2023-02-10T14:11:02.808
27,Loan Officer-000001,Assess loan risk,2023-02-10T14:06:11.525,2023-02-10T14:26:11.525
26,Senior Officer-000002,Approve loan offer,2023-02-10T14:10:13.620,2023-02-10T14:30:13.620
24,Senior Officer-000001,Approve loan offer,2023-02-10T14:11:02.808,2023-02-10T14:31:02.808
26,Clerk-000007,Cancel application,2023-02-10T14:30:13.620,2023-02-10T14:35:13.620
24,Clerk-000005,Approve application,2023-02-10T14:31:02.808,2023-02-10T14:36:02.808
27,Loan Officer-000003,Design loan offer,2023-02-10T14:26:11.525,2023-02-10T14:39:44.835
28,Appraiser-000001,Appraise property,2023-02-10T14:00:13.365,2023-02-10T14:46:42.095
28,Clerk-000004,Check credit history,2023-02-10T14:00:13.365,2023-02-10T14:48:02.585
29,Clerk-000006,Check application form completeness,2023-02-10T14:30:00.000,2023-02-10T14:51:02.526
29,AML Investigator-000001,AML check,2023-02-10T14:51:02.526,2023-02-10T14:57:28.989
27,Senior Officer-000002,Approve loan offer,2023-02-10T14:39:44.835,2023-02-10T14:59:44.835
29,Clerk-000002,Check credit history,2023-02-10T14:51:02.526,2023-02-13T07:01:23.530
27,Clerk-000003,Cancel application,2023-02-10T14:59:44.835,2023-02-13T07:04:44.835
28,Loan Officer-000004,Assess loan risk,2023-02-10T14:48:02.585,2023-02-13T07:08:02.585
30,Clerk-000008,Check application form completeness,2023-02-10T15:00:00.000,2023-02-13T07:10:18.825
29,Appraiser-000002,Appraise property,2023-02-10T14:51:02.526,2023-02-13T07:15:05.575
28,Clerk-000001,Reject application,2023-02-13T07:08:02.585,2023-02-13T07:18:02.585
30,Appraiser-000001,Appraise property,2023-02-13T07:10:18.825,2023-02-13T07:18:03.817
30,AML Investigator-000002,AML check,2023-02-13T07:10:18.825,2023-02-13T07:24:58.642
29,Loan Officer-000002,Assess loan risk,2023-02-13T07:15:05.575,2023-02-13T07:35:05.575
31,Clerk-000005,Check application form completeness,2023-02-13T07:30:00.000,2023-02-13T07:37:15.326
31,AML Investigator-000001,AML check,2023-02-13T07:37:15.326,2023-02-13T07:40:40.216
29,Clerk-000004,Reject application,2023-02-13T07:35:05.575,2023-02-13T07:45:05.575
31,Appraiser-000002,Appraise property,2023-02-13T07:37:15.326,2023-02-13T07:49:28.056
31,Clerk-000006,Check credit history,2023-02-13T07:37:15.326,2023-02-13T07:59:58.349
31,Loan Officer-000001,Assess loan risk,2023-02-13T07:59:58.349,2023-02-13T08:19:58.349
30,Clerk-000007,Check credit history,2023-02-13T07:10:18.825,2023-02-13T08:22:08.684
32,Clerk-000002,Check application form completeness,2023-02-13T08:00:00.000,2023-02-13T08:28:19.211
31,Clerk-000003,Reject application,2023-02-13T08:19:58.349,2023-02-13T08:29:58.349
32,AML Investigator-000002,AML check,2023-02-13T08:28:19.211,2023-02-13T08:31:39.310
32,Appraiser-000001,Appraise property,2023-02-13T08:28:19.211,2023-02-13T08:32:46.378
32,Clerk-000008,Check credit history,2023-02-13T08:28:19.211,2023-02-13T08:38:22.887
30,Loan Officer-000003,Assess loan risk,2023-02-13T08:22:08.684,2023-02-13T08:42:08.684
30,Loan Officer-000002,Design loan offer,2023-02-13T08:42:08.684,2023-02-13T08:53:01.615
32,Loan Officer-000004,Assess loan risk,2023-02-13T08:38:22.887,2023-02-13T08:58:22.887
32,Clerk-000005,Reject application,2023-02-13T08:58:22.887,2023-02-13T09:08:22.887
30,Senior Officer-000001,Approve loan offer,2023-02-13T08:53:01.615,2023-02-13T09:13:01.615
30,Clerk-000006,Cancel application,2023-02-13T09:13:01.615,2023-02-13T09:18:01.615
34,Clerk-000004,Check application form completeness,2023-02-13T09:00:00.000,2023-02-13T09:21:41.657
34,Clerk-000007,Check credit history,2023-02-13T09:21:41.657,2023-02-13T09:22:58.051
34,AML Investigator-000001,AML check,2023-02-13T09:21:41.657,2023-02-13T09:24:38.172
34,Appraiser-000002,Appraise property,2023-02-13T09:21:41.657,2023-02-13T09:25:18.185
33,Clerk-000001,Check application form completeness,2023-02-13T08:30:00.000,2023-02-13T09:31:44.435
33,Appraiser-000001,Appraise property,2023-02-13T09:31:44.435,2023-02-13T09:35:46.589
34,Loan Officer-000001,Assess loan risk,2023-02-13T09:25:18.185,2023-02-13T09:45:18.185
35,Clerk-000002,Check application form completeness,2023-02-13T09:30:00.000,2023-02-13T09:50:18.349
34,Loan Officer-000003,Design loan offer,2023-02-13T09:45:18.185,2023-02-13T10:01:01.383
33,Clerk-000003,Check credit history,2023-02-13T09:31:44.435,2023-02-13T10:09:50.015
35,Clerk-000008,Check credit history,2023-02-13T09:50:18.349,2023-02-13T10:11:14.660
36,Clerk-000005,Check application form completeness,2023-02-13T10:00:00.000,2023-02-13T10:13:30.764
34,Senior Officer-000002,Approve loan offer,2023-02-13T10:01:01.383,2023-02-13T10:21:01.383
36,Appraiser-000001,Appraise property,2023-02-13T10:13:30.764,2023-02-13T10:22:35.619
34,Clerk-000004,Cancel application,2023-02-13T10:21:01.383,2023-02-13T10:26:01.383
33,AML Investigator-000002,AML check,2023-02-13T09:31:44.435,2023-02-13T10:31:16.459
35,Appraiser-000002,Appraise property,2023-02-13T09:50:18.349,2023-02-13T10:41:43.058
36,AML Investigator-000002,AML check,2023-02-13T10:31:16.459,2023-02-13T10:41:49.125
36,Clerk-000006,Check credit history,2023-02-13T10:13:30.764,2023-02-13T10:42:17.307
33,Loan Officer-000002,Assess loan risk,2023-02-13T10:31:16.459,2023-02-13T10:51:16.459
33,Loan Officer-000001,Design loan offer,2023-02-13T10:51:16.459,2023-02-13T10:57:36.222
37,Clerk-000007,Check application form completeness,2023-02-13T10:30:00.000,2023-02-13T10:57:36.793
37,Appraiser-000001,Appraise property,2023-02-13T10:57:36.793,2023-02-13T10:58:16.009
35,AML Investigator-000001,AML check,2023-02-13T09:50:18.349,2023-02-13T11:01:30.319
36,Loan Officer-000004,Assess loan risk,2023-02-13T10:42:17.307,2023-02-13T11:02:17.307
38,Clerk-000002,Check application form completeness,2023-02-13T11:00:00.000,2023-02-13T11:06:31.632
38,Clerk-000008,Check credit history,2023-02-13T11:06:31.632,2023-02-13T11:06:58.860
38,Appraiser-000002,Appraise property,2023-02-13T11:06:31.632,2023-02-13T11:10:51.215
37,Clerk-000001,Check credit history,2023-02-13T10:57:36.793,2023-02-13T11:11:05.761
36,Clerk-000003,Reject application,2023-02-13T11:02:17.307,2023-02-13T11:12:17.307
33,Senior Officer-000001,Approve loan offer,2023-02-13T10:57:36.222,2023-02-13T11:17:36.222
35,Loan Officer-000003,Assess loan risk,2023-02-13T11:01:30.319,2023-02-13T11:21:30.319
33,Clerk-000005,Cancel application,2023-02-13T11:17:36.222,2023-02-13T11:22:36.222
35,Clerk-000004,Reject application,2023-02-13T11:21:30.319,2023-02-13T11:31:30.319
37,AML Investigator-000002,AML check,2023-02-13T10:57:36.793,2023-02-13T11:32:35.946
39,Clerk-000006,Check application form completeness,2023-02-13T11:30:00.000,2023-02-13T11:46:39.706
37,Loan Officer-000002,Assess loan risk,2023-02-13T11:32:35.946,2023-02-13T11:52:35.946
40,Clerk-000008,Check application form completeness,2023-02-13T12:00:00.000,2023-02-13T12:00:35.459
37,Clerk-000002,Reject application,2023-02-13T11:52:35.946,2023-02-13T12:02:35.946
39,Clerk-000007,Check credit history,2023-02-13T11:46:39.706,2023-02-13T12:04:39.523
39,AML Investigator-000002,AML check,2023-02-13T11:46:39.706,2023-02-13T12:13:58.549
40,AML Investigator-000002,AML check,2023-02-13T12:13:58.549,2023-02-13T12:17:20.137
40,Appraiser-000002,Appraise property,2023-02-13T12:00:35.459,2023-02-13T12:26:29.314
40,Clerk-000001,Check credit history,2023-02-13T12:00:35.459,2023-02-13T12:33:35.147
41,Clerk-000003,Check application form completeness,2023-02-13T12:30:00.000,2023-02-13T12:35:54.538
41,Clerk-000005,Check credit history,2023-02-13T12:35:54.538,2023-02-13T12:38:53.670
38,AML Investigator-000001,AML check,2023-02-13T11:06:31.632,2023-02-13T12:38:56.490
41,Appraiser-000002,Appraise property,2023-02-13T12:35:54.538,2023-02-13T12:41:23.222
40,Loan Officer-000001,Assess loan risk,2023-02-13T12:33:35.147,2023-02-13T12:53:35.147
38,Loan Officer-000004,Assess loan risk,2023-02-13T12:38:56.490,2023-02-13T12:58:56.490
40,Clerk-000004,Reject application,2023-02-13T12:53:35.147,2023-02-13T13:03:35.147
